INGR_KOR_NAME,INGR_ENG_NAME,CAS_NO,ORIGIN_MAJOR_KOR_NAME,INGR_SYNONYM
아이소스테아릴베헨아미도프로필베타이네이트클로라이드,Isostearyl Behenamidopropyl Betainate Chloride,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,
아이소스테아릴벤질이미도늄클로라이드,Isostearyl Benzylimidonium Chloride,,이 원료는 주로 다음의 구조를 갖는 4급 암모늄염이다.,
아이소스테아릴아세테이트,Isostearyl Acetate,,이 원료는 다음의 구조를 갖는 아이소스테아릴알코올과 아세틱애씨드의 에스터이다.,
아이소스테아릴아이소부티레이트,Isostearyl Isobutyrate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
솔베스-160트라이스테아레이트,Sorbeth-160 Tristearate,,이 원료는 평균 160몰의 에틸렌옥사이드를 갖는 솔비톨의 폴리에틸렌글라이콜에터 및 스테아릭애씨드의 트라이에스터이다.,
스테아릴포스페이트,Stearyl Phosphate,,이 원료는 스테아릴알코올과 포스포릭애씨드의 모노 및 다이에스터의 혼합물이다.,
스테아릴피지-다이모늄클로라이드포스페이트,Stearyl PG-Dimonium Chloride Phosphate,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,
스테아릴피지-트라이모늄클로라이드,Stearyl PG-Trimonium Chloride,,이 원료는 다음의 구조는 갖는 4급 암모늄염이다.,
스트론튬티오글라이콜레이트,Strontium Thioglycolate,,이 원료는 다음의 구조를 갖는 티오글라이콜릭애씨드의 스트론튬염이다.,
스트론튬퍼옥사이드,Strontium Peroxide,,이 원료는 다음의 구조를 갖는 무기산화물이다.,
시네올,Cineole,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
시로틱애씨드,Cerotic Acid,,이 원료는 비즈왁스에서 유래된 긴사슬 유기산이다.,
아이소데실글리세릴에터,Isodecyl Glyceryl Ether,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
아이소데실스테아레이트,Isodecyl Stearate,,이 원료는 주로 다음의 구조를 갖는 분지형 데실알코올과 스테아릭애씨드의 에스터이다.,
아이소데실코코에이트,Isodecyl Cocoate,,이 원료는 다음의 구조를 갖는 가지사슬형 데실알코올과 코코넛애씨드의 에스터로 RCO-는 코코넛오일에서 유래된 지방산이다.,
아이소데실팔미테이트,Isodecyl Palmitate,,이 원료는 주로 다음의 구조를 갖는 가지사슬형 데실알코올과 팔미틱애씨드의 에스터이다.,
미모사아카시아잎추출물,Acacia Dealbata Leaf Extract,,이 원료는 Acacia dealbata의 잎에서 추출한 것이다.,아카시아 데알바타잎추출물
아크릴레이트/C12-13알킬메타크릴레이트/메톡시에틸아크릴레이트크로스폴리머,Acrylates/C12-13 Alkyl Methacrylates/Methoxyethyl Acrylate Crosspolymer,,"이 원료는 비닐옥사졸린이 가교된 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 C12-13 알킬메타크릴레이트, 메톡시에틸아크릴레이트의 공중합체이다.",
아크릴레이트/다이메티콘메타크릴레이트/에틸헥실아크릴레이트코폴리머,Acrylates/Dimethicone Methacrylate/Ethylhexyl Acrylate Copolymer,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 에틸헥실아크릴레이트, 다이메티콘메타크릴레이트의 공중합체이다.",
아크릴레이트/다이메티콘메타크릴레이트코폴리머,Acrylates/Dimethicone Methacrylate Copolymer,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 다이메티콘아크릴레이트의 공중합체이다.",
아크릴레이트/메톡시피이지-10말리에이트/스타이렌코폴리머,Acrylates/Methoxy PEG-10 Maleate/Styrene Copolymer,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 혹은 그것들의 단순한 에스터 중 하나 이상의 모노머와 스타이렌 및 메톡시피이지-10말리에이트의 공중합체이다.",
아크릴레이트/베헤닐메타크릴레이트/다이메티콘메타크릴레이트코폴리머,Acrylates/Behenyl Methacrylate/Dimethicone Methacrylate Copolymer,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 베헤닐메타크릴레이트, 다이메티콘메타크릴레이트의 공중합체이다.",
아크릴레이트/비스-하이드록시프로필다이메티콘크로스폴리머,Acrylates/Bis-Hydroxypropyl Dimethicone Crosspolymer,,"이 원료는 아크릴릭애씨드, 메타크릴애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 비스-하이드록시프로필다이메티콘이 가교된 중합체이다.",
아크릴레이트/아세토아세톡시에틸메타크릴레이트코폴리머,Acrylates/Acetoacetoxyethyl Methacrylate Copolymer,,"이 원료는 아크릴릭애씨드, 메타크릴애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 아세토아세톡시에틸메타크릴레이트의 공중합체이다.",
아크릴레이트/에틸아민옥사이드메타크릴레이트코폴리머,Acrylates/Ethylamine Oxide Methacrylate Copolymer,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 에틸아민옥사이드메타크릴레이트의 공중합체이다.",
아크릴레이트/에틸헥실아크릴레이트/스타이렌코폴리머,Acrylates/Ethylhexyl Acrylate/Styrene Copolymer,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 에틸헥실아크릴레이트, 스타이렌의 공중합체이다.",
아크릴레이트/옥틸아크릴아마이드/다이페닐아모다이메티콘코폴리머,Acrylates/Octylacrylamide/Diphenyl Amodimethicone Copolymer,,"이 원료는 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 다이페닐아모다이메티콘 및 옥틸아크릴아마이드의 공중합체이다.",
아크릴레이트/프로필트라이메티콘메타크릴레이트코폴리머,Acrylates/Propyl Trimethicone Methacrylate Copolymer,,"이 원료는 아크릴릭애씨드, 메타크릴애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 프로필트라이메티콘메타크릴레이트의 공중합체이다.",
아크릴릭애씨드/스테아릴메타아크릴레이트/다이메티콘메타크릴레이트코폴리머,Acrylic Acid/Stearyl Methacrylate/Dimethicone Methacrylate Copolymer,,"이 원료는 아크릴릭애씨드, 스테아릴메타크릴레이트, 다이메티콘메타크릴레이트 모노머들의 공중합체이다.",
솔베스-30펜타아이소스테아레이트,Sorbeth-30 Pentaisostearate,,이 원료는 에틸렌옥사이드가 평균 30몰인 솔비톨의 폴리에틸렌글라이콜에터와 아이소스테아릭애씨드의 펜타에스터이다.,
솔베스-450트라이스테아레이트,Sorbeth-450 Tristearate,,이 원료는 평균 450몰의 에틸렌옥사이드를 갖는 솔비톨의 폴리에틸렌글라이콜에터 및 스테아릭애씨드의 트라이에스터이다.,
시어버터나무너트추출물,Butyrospermum Parkii (Shea) Nut Extract,,이 원료는 시어버터나무(Shea) Butyrospermum parkii의 너트(씨)에서 추출한 것이다.,
시팀우드검옥테닐석시네이트,Acacia Seyal Gum Octenylsuccinate,,이 원료는 무수옥테닐석시닉애씨드인 시팀우드 Acacia Seyal검의 반응으로 얻은 것이다.,
신나밀아세테이트,Cinnamyl Acetate,,이 원료는 신나밀알코올과 아세틱애씨드의 에스터이며 다음의 구조를 갖는다.,
아이소부틸팔미테이트,Isobutyl Palmitate,,이 원료는 다음의 구조를 갖는 아이소부틸알코올과 팔미틱애씨드의 에스터이다.,
아이소부틸렌/스타이렌코폴리머,Isobutylene/Styrene Copolymer,,이 원료는 아이소부틸렌과 스타이렌 모노머의 공중합체이다.,
아이소부틸렌/아이소프렌코폴리머,Isobutylene/Isoprene Copolymer,,이 원료는 아이소부틸렌 및 아이소프렌 모노머의 공중합체이다.,
아이소프로필올리에이트,Isopropyl Oleate,,이 원료는 다음의 구조를 갖는 아이소프로필알코올 및 올레익애씨드의 에스터이다.,
아이소프로필탈로우에이트,Isopropyl Tallowate,,이 원료는 아이소프로필알코올 및 탈로우애씨드의 에스터이다.,
아이소프로필티오글라이콜레이트,Isopropyl Thioglycolate,,이 원료는 다음의 구조를 갖는 아이소프로필알코올 및 티오글라이콜릭애씨드의 에스터이다.,
아이소프로필티타늄트라이아이소스테아레이트/메티콘크로스폴리머,Isopropyl Titanium Triisostearate/Methicone Crosspolymer,,이 원료는 아이소프로필티타늄트라이아이소스테아레이트와 메티콘이 반응하여 얻은 것이다.,
아이소프로필티타늄트라이아이소스테아레이트/트라이에톡시실리에틸폴리다이메틸실록시에틸다이메티콘크로스폴리머,Isopropyl Titanium Triisostearate/Triethoxysilylethyl Polydimethylsiloxyethyl Dimethicone Crosspolymer,,이 원료는 아이소프로필티타늄트라이아이소스테아레이트와 트라이에톡시실리에틸폴리다이메틸실록시에틸다이메티콘의 축합반응 및 가수분해로 얻은 복합 중합체이다.,
아이소프로필티타늄트라이아이소스테아레이트/퍼플루오로옥틸트라이에톡시실레인크로스폴리머,Isopropyl Titanium Triisostearate/Perfluorooctyl Triethoxysilane Crosspolymer,,이 원료는 아이소프로필티타늄트라이아이소스테아레이트와 퍼플루오로옥틸트라이에톡시실레인이 반응하여 얻은 것이다.,
아이소프로필페닐부탄알,Isopropylphenylbutanal,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
아이소프로필피씨에이,Isopropyl PCA,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
아이소프로필하이드록시스테아레이트,Isopropyl Hydroxystearate,,이 원료는 다음의 구조를 갖는 아이소프로필알코올 및 12-하이드록시스테아릭애씨드의 에스터이다.,
아이소헥실카프레이트,Isohexyl Caprate,,이 원료는 다음의 구조를 갖는 카프릭애씨드와 가지사슬형 6-탄소 알코올의 에스터이다.,
아이소헥실팔미테이트,Isohexyl Palmitate,,이 원료는 주로 다음의 구조를 갖는 분지형 헥실알코올과 팔미틱애씨드의 에스터이다.,
아이오도폼,Iodoform,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
솔잣나무커넬오일,Pinus Pinea Kernel Oil,,이 원료는 소나무속인 솔잣나무 Pinus pinea의 커넬로부터 얻은 고정유(불휘발성 오일)이다.,
수리딸기추출물,Rubus Villosus (Blackberry) Fruit Extract,,이 원료는 수리딸기(Blackberry) Rubus villosus의 열매에서 추출한 것이다.,
스위트아카시아검,Acacia Farnesiana Gum,,이 원료는 스위트아카시아 Acacia farnesiana에서 얻은 진의 삼출물을 건조한 것이다.,
스위트체스트넛로즈씨오일,Rosa Roxburghii Seed Oil,,이 원료는 스위트체스트넛로즈 Rosa roxburghii의 씨를 압착하여 얻은 오일이다.,
스타이렌/메틸스타이렌/인덴코폴리머,Styrene/Methylstyrene/Indene Copolymer,,"이 원료는 스타이렌, 메틸스타이렌 및 인덴모노머의 공중합체이다.",
스타이렌/메틸스타이렌코폴리머,Styrene/Methylstyrene Copolymer,,이 원료는 스타이렌과 메틸스타이렌 모노머들의 공중합체이다.,
스타이렌/스테아릴메타크릴레이트크로스폴리머,Styrene/Stearyl Methacrylate Crosspolymer,,이 원료는 다이비닐벤젠으로 가교된 스테아릴메타크릴레이트 모노머와 스타이렌의 공중합체이다.,
스타이렌/아크릴레이트/다이메티콘아크릴레이트크로스폴리머,Styrene/Acrylates/Dimethicone Acrylate Crosspolymer,,"이 원료는 다이비닐벤젠으로 가교된 아크릴릭애씨드, 메타크릴릭애씨드 또는 그것들의 단순한 에스터 중 하나 이상의 모노머와 다이메티콘 및 스타이렌의 공중합체이다.",
신양벚나무줄기추출물,Prunus Cerasus (Bitter Cherry) Stalk Extract,,이 원료는 신양벚나무(Bitter Cherry) Prunus cerasus의 줄기에서 추출한 것이다.,
실레인트라이올글루타메이트,Silanetriol Glutamate,,이 원료는 실레인트라이올과 글루타믹애씨드의 반응으로 얻은 것이다.,
실리빈,Silybin,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
실버설페이트,Silver Sulfate,,이 원료는 다음의 구조를 갖는 무기염이다.,
쌀겨애씨드,Rice Bran Acid,,이 원료는 쌀(Rice) Oryza sativa겨오일에서 얻은 지방산의 혼합물이다.,
썬플라워씨드아미도프로필다이메틸아민락테이트,Sunflowerseedamidopropyl Dimethylamine Lactate,,이 원료는 주로 다음의 구조를 갖는 해바라기씨아미도프로필다이메틸아민의 락틱애씨드염이다. RCO-는 해바라기씨오일에서 유래한 지방산이다.,
아가로오스,Agarose,,이 원료는 홍조류인 꼬시래기에서 추출한 다당류이다.,
아다만타닐다이하이드록시벤즈아마이드,Adamantanyl Dihydroxybenzamide,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
아다만타닐카복사미도트라이플루오로메틸벤조나이트릴,Adamantanylcarboxamido Trifluoromethylbenzonitrile,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
아이소스테아릴에루케이트,Isostearyl Erucate,,이 원료는 주로 다음의 구조를 갖는 아이소스테아릴알코올과 에루식애씨드의 에스터이다.,
아이소스테아릴에틸다이모늄클로라이드,Isostearyl Ethyldimonium Chloride,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,
아이소스테아릴에틸헥사노에이트,Isostearyl Ethylhexanoate,,이 원료는 다음의 구조를 갖는 아이소스테아릴알코올과 2-에틸헥사노익애씨드의 에스터이다.,
아이소스테아릴카복시데실피이지-8다이메티콘,Isostearyl Carboxydecyl PEG-8 Dimethicone,,"이 원료는 다음의 구조를 갖는 폴리실록세인으로, R은 아이소스테아릴 그룹이고 n은 평균 8이다.",
아이소스테아릴페룰레이트,Isostearyl Ferulate,,이 원료는 다음의 구조를 갖는 아이소스테아릴알코올과 페룰릭애씨드의 에스터이다.,
아이소스테아릴하이드록시에틸이미다졸린,Isostearyl Hydroxyethyl Imidazoline,,이 원료는 다음의 구조를 갖는 헤테로고리화합물이다.,
아이소옥탄,Isooctane,,이 원료는 다음의 구조를 갖는 탄화수소이다.,
아이소옥틸티오글라이콜레이트,Isooctyl Thioglycolate,,이 원료는 티오글라이콜릭애씨드와 가지사슬형 옥틸알코올 혼합물의 에스터이다.,
미리스토일글루타믹애씨드,Myristoyl Glutamic Acid,,이 원료는 다음의 구조를 갖는 치환된 아미노산이다.,
미리스토일메틸베타-알라닌,Myristoyl Methyl Beta-Alanine,,이 원료는 다음의 구조를 갖는 치환된 아미노산이다.,
미리스토일펜타펩타이드-4,Myristoyl Pentapeptide-4,,이 원료는 미리스틱애씨드와 펜타펩타이드-4가 반응하여 얻은 것이다.,
미리스틸글라이콜,Myristyl Glycol,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
미리스틸베타인,Myristyl Betaine,,이 원료는 주로 다음의 구조를 갖는 양쪽성이온이다.,
미리스틸아미도프로필다이메틸아민다이메티콘피이지-7포스페이트,Myristylamidopropyl Dimethylamine Dimethicone PEG-7 Phosphate,,이 원료는 다이메티콘피이지-7포스페이트의 미리스타미도프로필다이메틸아민염이다.,
미리스틸피씨에이,Myristyl PCA,,이 원료는 다음의 구조를 갖는 미리스틸알코올과 피씨에이의 에스터이다.,
미리스틸-피지하이드록시에틸데케인아마이드,Myristyl-PG Hydroxyethyl Decanamide,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
미비케이,MIBK,,이 원료는 다음의 구조를 갖는 지방족 케톤이다.,
미송나무수지,Pseudotsuga Menziesii (Balsam Oregon) Resin,,이 원료는 미송나무(Balsam Oregon) Pseudotsuga menziesii에서 얻은 올레오레진이다.,
비스-비닐다이메티콘,Bis-Vinyldimethicone,,이 원료는 실록세인 사슬의 각 끝에서 하나의 메틸 그룹이 비닐 그룹으로 대체된 다이메티콘의 유도체이며 주로 다음의 구조를 갖는다.,
비스-비닐다이메티콘/비스-아이소부틸피피지-20크로스폴리머,Bis-Vinyldimethicone/Bis-Isobutyl PPG-20 Crosspolymer,,이 원료는 부분적으로 가교된 메틸하이드로겐사이클릭실록세인과 더 가교된 비스-메탈릴피피지-20의 가교중합체이다.,
비스-비닐다이메티콘크로스폴리머,Bis-Vinyldimethicone Crosspolymer,,이 원료는 메틸하이드로겐사이클릭실옥세인으로 부분적으로 가교된 비스-비닐다이메티콘의 중합체이다.,
비스-비닐다이페닐다이메티콘,Bis-Vinyl Diphenyl Dimethicone,,이 원료는 주로 다음의 구조를 갖는 실리콘중합체이다.,
비스-세틸/피이지-8세틸피이지-8다이메티콘,Bis-Cetyl/PEG-8 Cetyl PEG-8 Dimethicone,,이 원료는 주로 다음의 구조를 갖는 실리콘화합물이다. R은 세틸 그룹 혹은 (CH2)3O(CH2CH2O)8H이다.,
비스-세틸세틸다이메티콘,Bis-Cetyl Cetyl Dimethicone,,이 원료는 세틸그룹으로 말단이 치환된 세틸다이메티콘의 유도체이다.,
비스-스테아록시에틸다이메티콘,Bis-Stearoxyethyl Dimethicone,,이 원료는 주로 다음의 구조를 갖는 실리콘중합체이다.,
비스-아미노프로필/에톡시아미노프로필다이메티콘,Bis-Aminopropyl/Ethoxy Aminopropyl Dimethicone,,이 원료는 주로 다음의 구조를 갖는 실리콘중합체이다.,
비스-아미노프로필다이메티콘/아이피디아이코폴리머,Bis-Aminopropyl Dimethicone/IPDI Copolymer,,이 원료는 비스-아미노프로필다이메티콘과 아이소포론다이아이소시아네이트의 공중합체이다.,
비스-아이소부틸피이지-13/다이메티콘코폴리머,Bis-Isobutyl PEG-13/Dimethicone Copolymer,,이 원료는 피이지-13의 비스-메탈릴에터와 비스-하이드로겐다이메티콘을 반응시켜 만든 블록공중합체이다.,
비스-아이소부틸피이지-15/아모다이메티콘코폴리머,Bis-Isobutyl PEG-15/Amodimethicone Copolymer,,"이 원료는 다음의 구조를 갖는 실리콘 공중합체로, R은 아이소부틸이다.",
비스-아이소부틸피이지-24/피피지-7/다이메티콘코폴리머,Bis-Isobutyl PEG-24/PPG-7/Dimethicone Copolymer,,이 원료는 평균 7몰 프로필렌옥사이드를 포함하는 폴리프로필렌글라이콜의 비스-메탈릴에터와 평균 24몰 에틸렌옥사이드를 포함하는 비스-메탈릴에터폴리에틸렌글리콜의 혼합물과 비스-하이드로겐다이메티콘을 반응시켜 만든 블록공중합체이다.,
비스-아이소스테아로일캐스터오일/다이머다이리놀리에이트코폴리머,Bis-Isostearoyl Castor Oil/Dimer Dilinoleate Copolymer,,이 원료는 아이소스테아릭애씨드로 말단이 치환된 피마자(Castor) Ricinus communis씨오일과 다이리놀레익애씨드의 공중합체이다.,
"비스-아이소스테아릴1,4-부탄다이올/에이치디아이/하이드로제네이티드다이머다이리놀레일알코올코폴리머","Bis-Isostearyl 1,4-Butanediol/HDI/Hydrogenated Dimer Dilinoleyl Alcohol Copolymer",,"이 원료는 아이소스테아릴1,4-부탄다이올로 말단이 치환된 하이드로제네이티드다이리노레일아코올과 헥사메틸렌다이아이소시아네이트(에이치디아이)의 공중합체이다.",
비스-트라이메톡시실릴에틸테트라메틸다이실록시에틸다이메티콘,Bis-Trimethoxysilylethyl Tetramethyldisiloxyethyl Dimethicone,,이 원료는 주로 다음의 구조를 갖는 실리콘중합체이다.,
비스-트라이메틸벤조일페닐포스핀옥사이드,Bis-Trimethylbenzoyl Phenylphosphine Oxide,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
비스-페닐아이소프로필페닐아이소프로필다이메티콘/비닐다이메티콘크로스폴리머,Bis-Phenylisopropyl Phenylisopropyl Dimethicone/Vinyl Dimethicone Crosspolymer,,이 원료는 비닐다이메티콘으로 가교된 페닐아이소프로필다이메티콘의 공중합체이다.,
비스페닐헥사메티콘,Bisphenylhexamethicone,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
비스폴리에틸렌다이메티콘,Bispolyethylene Dimethicone,,이 원료는 주로 다음의 구조를 갖는 실록세인 중합체이다.,
비스-피이지/피피지-15/5다이메티콘,Bis-PEG/PPG-15/5 Dimethicone,,이 원료는 평균 15몰 에틸렌옥사이드와 5몰 프로필렌옥사이드가 말단에 무작위로 부가된 다이메티콘이다.,
비스-피이지/피피지-18/6다이메티콘,Bis-PEG/PPG-18/6 Dimethicone,,이 원료는 평균 18몰 에틸렌옥사이드와 6몰 프로필렌옥사이드가 말단에 무작위로 부가된 다이메티콘이다.,
비스-피이지-10다이메티콘,Bis-PEG-10 Dimethicone,,이 원료는 평균 10몰 에틸렌옥사이드로 말단이 치환된 다이메티콘이다.,
비스-피이지-10다이메티콘/다이머다이리놀리에이트코폴리머,Bis-PEG-10 Dimethicone/Dimer Dilinoleate Copolymer,,이 원료는 비스피이지-10다이메티콘과 다이리놀레익애씨드의 공중합체이다.,
비스-피이지-1다이메티콘,Bis-PEG-1 Dimethicone,,이 원료는 평균 1몰 에틸렌옥사이드로 말단이 치환된 다이메티콘이다.,
비스-피이지-1다이메티콘/피피지-26/아이피디아이코폴리머,Bis-PEG-1 Dimethicone/PPG-26/IPDI Copolymer,,"이 원료는 피피지-26, 아이소포론다이아이소시아네이트(아이피디아이)와 비스-피이지-1다이메티콘의 공중합체이다.",
비스-피이지-8피이지-8다이메티콘,Bis-PEG-8 PEG-8 Dimethicone,,이 원료는 평균 8몰의 에틸렌옥사이드로 말단이 치환되어 있고 평균 8몰의 에틸렌옥사이드로 알콕실화된 곁사슬을 포함하는 다이메티콘 유도체이다.,
비스-피피지-15다이메티콘아이피디아이코폴리머C30-50알킬카바메이트,Bis-PPG-15 Dimethicone IPDI Copolymer C30-50 Alkylcarbamate,,이 원료는 C30-50 알킬카바메이트로 말단이 치환된 아이소포론다이아이소시아네이트(아이피디아이)와 피피지-15다이메티콘의 반응으로 얻어진 실리콘중합체이다.,
비스-하이드로젠다이메티콘,Bis-Hydrogen Dimethicone,,이 원료는 다음의 구조를 갖는 실록세인화합물이다.,
비스-하이드로제네이티드탈로우아민다이리놀레익애씨드/에틸렌다이아민코폴리머,Bis-Hydrogenated Tallow Amine Dilinoleic Acid/Ethylenediamine Copolymer,,이 원료는 하이드로제네이티드탈로우아민으로 말단이 치환된 에틸렌다이아민모노머와 다이리놀레익애씨드의 공중합체이다.,
비스-하이드록시에톡시프로필다이메티콘/피이지-2소이아민/아이피디아이코폴리머,Bis-Hydroxyethoxypropyl Dimethicone/PEG-2 Soyamine/IPDI Copolymer,,"이 원료는 비스-하이드록시에톡시프로필다이메티콘, 아이소포론다이아이소시아네이트(아이피디아이)와 피이지-2소이아민모노머의 공중합체이다.",
비스-하이드록시에톡시프로필다이메티콘아이소스테아레이트,Bis-Hydroxyethoxypropyl Dimethicone Isostearate,,이 원료는 다음의 구조를 갖는 실리콘중합체이다.,
비스-하이드록시프로필트라이실록실아이피디아이/피이지-14코폴리머,Bis-Hydroxypropyltrisiloxyl IPDI/PEG-14 Copolymer,,이 원료는 하이드록시프로필트라이실록실아이소포론다이아이소시아네이트(IPDI)와 피이지-14의 공중합체이다.,
비스-하이드록시프로필트라이실록실아이피디아이/피이지-23코폴리머,Bis-Hydroxypropyltrisiloxyl IPDI/PEG-23 Copolymer,,이 원료는 하이드록시프로필트라이실록실아이소포론다이아이소시아네이트(IPDI)와 피이지-23모노머의 공중합체이다.,
비스-헥사코실다이메티콘,Bis-Hexacosyl Dimethicone,,이 원료는 주로 다음의 구조를 갖는 실리콘화합물이다.,
세테아레스-80,Ceteareth-80,,"이 원료는 주로 다음의 구조를 갖는 세테아릴알코올의 폴리에틸렌글라이콜에터로, R은 세틸과 스테아릴알코올에서 유래된 알킬그룹의 혼합물이며, n은 평균 80이다.",
세테아레스-9,Ceteareth-9,,"이 원료는 주로 다음의 구조를 갖는 세테아릴알코올의 폴리에틸렌글라이콜에터로, R은 세틸과 스테아릴알코올에서 유래된 알킬그룹의 혼합물이며, n은 평균 9이다.",
세테아릴밀겨글라이코사이드,Cetearyl Wheat Bran Glycosides,,이 원료는 하이드롤라이즈드밀겨에서 얻은 단당류와 세테아릴알코올의 글라이코실레이션으로 얻은 생성물이다.,
세테아릴에틸헥실다이모늄메토설페이트,Cetearyl Ethylhexyldimonium Methosulfate,,"이 원료는 주로 다음의 구조를 갖는 4급 암모늄염으로, R은 세테아릴그룹이다.",
세테아릴팔미테이트,Cetearyl Palmitate,,이 원료는 세테아릴알코올과 팔미틱애씨드의 에스터이다.,
세톨레스-10,Cetoleth-10,,"이 원료는 주로 다음의 구조를 갖는 세틸 및 올레일알코올 혼합물의 폴리에틸렌글라이콜에터로, R은 세틸 및 올레일라디칼의 혼합물이며, n은 평균 10이다.",
세톨레스-25,Cetoleth-25,,"이 원료는 주로 다음의 구조를 갖는 세틸 및 올레일알코올 혼합물의 폴리에틸렌글라이콜에터로, R은 세틸 및 올레일라디칼의 혼합물이며, n은 평균 25이다.",
세톨레스-5,Cetoleth-5,,"이 원료는 다음의 구조를 갖는 세틸 및 올레일알코올 혼합물의 폴리에틸렌글라이콜에터이다. R은 세틸과 올레일라디칼을 나타내고, N의 평균은 5이다.",
미파-라우릴설페이트,MIPA-Lauryl Sulfate,,이 원료는 라우릴설페이트의 모노이소프로판올아민염이며 주로 다음의 구조를 갖는다.,
밀배아애씨드,Wheat Germ Acid,,이 원료는 밀(Wheat) Triticum vulgare배아에서 얻은 지방산 혼합물이다.,
밍크아미도프로필다이메틸아민,Minkamidopropyl Dimethylamine,,"이 원료는 주로 다음의 구조를 갖는 아미도아민으로, RCO-는 밍크오일에서 유래된 지방그룹이다.",
밍크왁스,Mink Wax,,이 원료는 밍크오일에서 유래된 고체 분획이다.,
바룬나무껍질/뿌리/줄기추출물,Crataeva Nurvala Bark/Root/Stem Extract,,"이 원료는 바룬 Crataeva nurvala의 나무껍질, 뿌리 및 줄기에서 추출한 것이다.",
바륨글루코네이트,Barium Gluconate,,이 원료는 글루코닉애씨드의 바륨염이다. 다음의 구조를 갖는다.,
바바수아미도프로팔코늄클로라이드,Babassuamidopropalkonium Chloride,,이 원료는 주로 다음의 구조를 갖는 4급 암모늄염이다. RCO-는 바바수(babassu) Orbignya oleifera오일에서 유래한 지방산이다.,
바이칼레인,Baicalein,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
비터아몬드씨추출물,Prunus Amygdalus Amara (Bitter Almond) Seed Extract,,이 원료는 비터아몬드(Bitter Almond) Prunus amygdalus amara의 씨에서 추출한 것이다.,
비터오렌지껍질가루,Citrus Aurantium Amara (Bitter Orange) Peel Powder,,이 원료는 비터오렌지(Bitter Orange) Citrus aurantium amara의 껍질을 건조하여 가루로 한 것이다.,
사과나무뿌리추출물,Pyrus Malus (Apple) Root Extract,,이 원료는 사과나무 (Apple) Pyrus malus의 뿌리에서 추출한 것이다.,
사과나무줄기추출물,Pyrus Malus (Apple) Stem Extract,,이 원료는 사과나무 (Apple) Pyrus malus의 줄기에서 추출한 것이다.,
사과펙틴추출물,Pyrus Malus (Apple) Pectin Extract,,이 원료는 사과나무(Apple) Pyrus malus의 펙틴을 추출한 것이다.,
사라수나무수지,Shorea Robusta Resin,,이 원료는 사라수나무 Shorea robusta의 수지성 삼출물이다.,
사이클로페닐메티콘,Cyclophenylmethicone,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
사이클로펜타데칸온,Cyclopentadecanone,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
세테스-45,Ceteth-45,,이 원료는 다음의 구조를 갖는 세틸알코올의 폴리에틸렌글라이콜에터이다. N은 평균45이다.,
세트리모늄다이메티콘피이지-7프탈레이트,Cetrimonium Dimethicone PEG-7 Phthalate,,이 원료는 세틸트라이메틸아민과 다이메티콘피이지-7프탈레이트의 염이다.,
세트리모늄다이메티콘피이지-8올리베이트/석시네이트,Cetrimonium Dimethicone PEG-8 Olivate/Succinate,,이 원료는 다이메티콘피이지-8석시네이트와 올리브애씨드와 세틸트라이메틸아민의 반응에 의해 형성된 실록세인중합체이다.,
세트리모늄사카리네이트,Cetrimonium Saccharinate,,이 원료는 다음의 구조를 갖는 4급 암모늄염이다.,
